SN,CAS Number,Chemical Name,Chemical Grade,Chemical Analysis,Chemical Purity,Species Scientific Name,Species Common Name,Species Group,Organism Lifestage,Organism Age,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean Op (Standardized),Conc 1 Mean (Standardized),Conc 1 Min Op (Standardized),Conc Min 1 (Standardized),Conc 1 Max Op (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Response Site,Observed Duration (Days),Observed Duration Units (Days),BCF 1 Value Op,BCF 1 Value,BCF 1 Min Op,BCF 1 Min,BCF 1 Max Op,BCF 1 Max,BCF 1 Unit,BCF 2 Value Op,BCF 2 Value,BCF 2 Min Op,BCF 2 Min,BCF 2 Max Op,BCF 2 Max,BCF 2 Unit,BCF 3 Value Op,BCF 3 Value,BCF 3 Min Op,BCF 3 Min,BCF 3 Max Op,BCF 3 Max,BCF 3 Unit,Author,Reference Number,Title,Source,Publication Year,Summary of Additional Parameters
SN0011,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,>,10000,,,,,AI mg/L,Biochemistry,Chlorophyll B concentration,EC10,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0012,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,21.9,,0,,52.7,AI mg/L,Growth,Weight,EC10,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0013,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,91,,26.2,,155.9,AI mg/L,Growth,Length,EC10,Root,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0014,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,155.9,,53,,258.7,AI mg/L,Growth,Length,EC25,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0015,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,166.9,,83.6,,250.1,AI mg/L,Growth,Length,EC25,Root,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0016,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,113.8,,45.8,,181.8,AI mg/L,Growth,Weight,EC25,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0017,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,251.7,,130.5,,372.9,AI mg/L,Growth,Number of roots,EC25,Root,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0018,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,237.2,,126.1,,348.3,AI mg/L,Growth,Length,EC25,Root,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0019,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,7890.4,,6082,,9698.8,AI mg/L,Biochemistry,Chlorophyll A concentration,EC25,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0020,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,392.2,,121.1,,633.3,AI mg/L,Morphology,General morphological changes,EC25,"Nodule, root",14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0021,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,134.1,,12.5,,255.6,AI mg/L,Growth,Weight,EC25,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0022,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,>,10000,,,,,AI mg/L,Biochemistry,Carotenoid content,EC25,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0023,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,>,10000,,,,,AI mg/L,Biochemistry,Chlorophyll B concentration,EC25,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0024,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,>,10000,,,,,AI mg/L,Biochemistry,Chlorophyll B concentration,EC50,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0025,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,822.6,,354,,1291.2,AI mg/L,Growth,Weight,EC50,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0026,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,357,,216.3,,497.6,AI mg/L,Growth,Weight,EC50,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0027,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,>,10000,,,,,AI mg/L,Biochemistry,Carotenoid content,EC50,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0028,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,340.7,,224.4,,456.9,AI mg/L,Growth,Length,EC50,Root,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0029,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,618.1,,425.6,,810.7,AI mg/L,Growth,Length,EC50,Root,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0030,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,700,,477.9,,922.1,AI mg/L,Growth,Number of roots,EC50,Root,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0031,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,1583.6,,897.5,,2269.7,AI mg/L,Morphology,General morphological changes,EC50,"Nodule, root",14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0032,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,765,,444.7,,1085.3,AI mg/L,Growth,Length,EC50,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0033,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,13958.4,,9702.7,,18214.2,AI mg/L,Biochemistry,Chlorophyll A concentration,EC50,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0034,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Lemna gibba,Inflated Duckweed,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,7,Active ingredient,,541.1,,407.2,,675,AI mg/L,Population,Abundance,EC10,,7,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0035,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Lemna gibba,Inflated Duckweed,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,7,Active ingredient,,445.2,,342.8,,547.6,AI mg/L,Population,Population growth rate,EC10,,7,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
